Make,2019,2020,2021,2022,2023,2024 Jan-May
Tesla,79.90%,76.60%,66.20%,58.60%,56.20%,52.30%
Ford,0.00%,0.00%,7.00%,8.60%,6.70%,8.20%
Hyundai,0.60%,2.90%,2.80%,4.80%,5.00%,5.40%
Mercedes-Benz,0.00%,0.00%,0.00%,1.30%,3.90%,4.60%
Rivian,0.00%,0.00%,0.10%,3.50%,3.80%,4.20%
Kia,0.50%,1.30%,1.60%,5.00%,2.30%,4.10%
Chevrolet,7.30%,8.90%,6.40%,5.30%,5.80%,3.30%
Cadillac,0.00%,0.00%,0.00%,0.00%,0.80%,2.40%
BMW,0.00%,0.00%,0.00%,1.10%,1.80%,2.30%
Volkswagen,2.20%,0.30%,4.30%,2.90%,3.50%,2.20%
Nissan,5.50%,4.10%,3.70%,1.70%,1.90%,2.20%
Toyota,0.00%,0.00%,0.00%,0.20%,0.90%,1.80%
Audi,2.40%,3.00%,3.40%,2.20%,2.00%,1.40%
Lexus,0.00%,0.00%,0.00%,0.00%,0.50%,1.00%
Subaru,0.00%,0.00%,0.00%,0.10%,0.80%,0.90%
GMC,0.00%,0.00%,0.00%,0.10%,0.30%,0.80%
Volvo,0.00%,0.00%,1.10%,1.10%,1.10%,0.70%
Genesis,0.00%,0.00%,0.00%,0.20%,0.60%,0.60%
Porsche,0.10%,2.00%,2.20%,1.20%,0.70%,0.60%
Lucid,0.00%,0.00%,0.00%,0.60%,0.50%,0.40%
Polestar,0.00%,0.00%,0.80%,1.30%,0.60%,0.30%
